State;Year;C_CE_I;C_CE_I_R;Total Current Assets;Current Liabilities;Noncurrent Liabilities;Unrestricted Net Assets;Restricted Net Assets;Total Net Assets;Total Assets;Total Liabilities;Total Taxes;Total Revenue;Total Expenses;NonCurrent Liability;Change in Net Assets;Population;UAAL pension (risk-free);UAAL OPEB;Primary gov debt;Personal income;1.Cash_ratio;2.quick_ratio;3.current_ratio;4.op_ratio;5. surplus_percap;6.net_asst_ratio;7.long_term_liab;8.lt_percapita;9.tax_income_ratio;10.rev_income_ratio;11.exp_income_ratio;12. pension_income_ratio;13. opeb_income_ratio;cashrank;Lrrank;budgetrank;servicelvlrank;trustrank;overallrank
Hawaii;2006;4390319.047619048;5319004.761904762;5446144.047619048;1573855.9523809524;6590772.619047619;2878490.476190476;1789738.0952380954;10598886.904761905;18763515.476190478;8164628.571428572;5660870238.095239;9405088095.238096;9285032142.857143;6590772619.047619;120055952.38095239;1309731;14428149740.716516;7463690476.190476;6632397619.047619;60259890476.190475;2.7895304147608355;3.379600753079145;3.460382787497192;1.0129300524256462;91.66458790465552;0.2487928542682852;0.35125467972197566;5032.157457560078;0.09394093141161494;0.15607542630622898;0.15408312344221384;0.23943206047507304;0.12385834785311275;7;33;46;44;46;30
Idaho;2006;3042091.666666667;3758815.476190476;5109867.857142857;1661379.761904762;797291.6666666667;1160776.1904761905;2470710.7142857146;9162882.142857144;11621553.571428573;2458671.4285714286;3449216666.666667;7892415476.190476;7040030952.380953;797291666.6666667;852384523.8095238;1468669;5710614028.849072;582644047.6190476;670979761.9047619;54825488095.2381;1.831063394668373;2.262466151556473;3.0756772017521294;1.1210768148002597;580.378917107615;0.3124786098899776;0.06860456837946324;542.8668179601168;0.06291264859648829;0.1439552250311106;0.12840799410944814;0.10415983928732359;0.010627247797720082;17;8;8;30;18;14
Illinois;2006;10780392.857142858;18075736.904761907;18685500;11591165.476190476;51544341.66666667;-37856834.52380952;5756702.3809523815;-17332541.666666668;45802965.47619048;63135507.14285714;31758336904.761906;61030952380.952385;60693691666.66667;51544341666.66667;337757142.85714287;12643955;131144792999.54094;0;33445001190.476192;603959319047.619;0.9300525369331466;1.5594408467286096;1.6120466952509707;1.0055567671865797;26.712934588674422;-0.7008308699912366;1.1253494425696235;4076.5995819082455;0.05258356962657931;0.10105142922074924;0.10049301294394182;0.21714176578373293;0;40;50;48;8;40;46
Indiana;2006;4956755.952380952;7247996.428571429;15061761.904761905;6766300;1912415.4761904762;7287082.142857143;1773669.0476190476;19507482.14285714;28186197.61904762;8678715.476190476;12796428571.428572;27903928571.428574;27457141666.666668;1912415476.1904762;4754322619.047619;6332669;25465540364.665627;0;1556038095.2380953;246876866666.6667;0.7325652058556305;1.0711905219353899;2.225996764075182;1.01627215644607;750.7612697028093;0.3214605713384033;0.06784936024496285;301.99201571888193;0.05183324279915752;0.11302771680549753;0.11121796074858371;0.10315077596577414;0;42;3;26;14;12;13
Iowa;2006;4602425;6993629.761904762;7251380.952380952;2367161.904761905;2662254.761904762;1270988.0952380954;3028469.0476190476;13528717.857142858;18558134.523809526;5029416.666666667;6986785714.285716;17258095238.095238;16575086904.761906;2662254761.904762;682976190.4761904;2982644;13714442357.096731;0;2474109523.809524;122266434523.80952;1.944279768418681;2.954436596768483;3.06332276545753;1.0412069232130006;228.98347589460573;0.23167507150791852;0.14345486926442794;892.5821391707365;0.057143939311693474;0.1411515376669832;0.13556530841286746;0.11216849833325312;0;13;13;32;28;16;20
Kansas;2006;2889641.666666667;4646576.19047619;4677401.19047619;2567348.8095238097;3671308.3333333335;1582270.238095238;1248019.0476190476;12526738.095238095;18765395.23809524;6238657.142857143;7544767857.142858;13167095238.095238;12621820238.095238;3671308333.3333335;543911904.7619048;2762931;15490998153.53824;0;6224476190.476191;116282434523.80952;1.1255352821351283;1.8098733499862978;1.821879899266104;1.0432009797092696;196.86047344718517;0.1508249226730154;0.19564247311350452;1328.7730795062682;0.06488312605458928;0.11323374241359899;0.1085445131053809;0.13321872918275002;0;34;25;33;19;21;29
Kentucky;2006;4742810.714285715;7355621.428571429;8469538.095238095;3714021.4285714286;6902928.571428572;-2147602.380952381;2105498.8095238097;21253740.476190478;31870690.476190478;10616950;11154172619.047619;22243070238.095238;21454684523.809525;6902928571.428572;788385714.2857143;4219239;31401778981.86881;14642719220.238096;4916684523.809524;152898086904.7619;1.2770014404871115;1.9805005356150343;2.280422517243214;1.036746553574852;186.85495519114096;-0.0013210749688660054;0.21659174835215816;1636.0600979059427;0.07295168203115189;0.14547644570562965;0.14032016330703567;0.20537718697179344;0.09576783801983632;28;39;36;38;45;38
Louisiana;2006;12266677.38095238;15470684.523809524;17464844.04761905;4647042.857142857;8168221.428571429;-3563357.142857143;9995215.476190476;19916634.523809526;32731898.80952381;12815264.285714285;9919265476.190477;28465630952.380955;26814445238.095238;8168221428.571429;1622283333.3333335;4302665;36737203574.261;0;8210159523.809525;170447510714.2857;2.6396738222669;3.329146082659838;3.7582704925508184;1.0615782165032406;377.0415157427625;0.1965012286871024;0.24954926923441328;1898.4098061483821;0.0581954258799223;0.1670052606406012;0.15731790464833018;0.21553382281916741;0;6;28;24;37;39;23
Maine;2006;774314.2857142858;1770088.0952380954;3164054.761904762;2106552.380952381;1038402.380952381;-168673.80952380953;772953.5714285715;4683686.904761905;7828641.666666667;3144954.761904762;4000648809.52381;8308171428.571429;7965201190.476191;1038402380.952381;343654761.9047619;1323619;9720466823.594091;0;924648809.5238096;54050391666.66667;0.36757419028157046;0.8402772754398973;1.5020062119102302;1.0430585781694153;259.6326903019388;0.07718832814608263;0.1326414498410066;784.5175847070653;0.07401701793755999;0.15371158602898982;0.1473662066983392;0.17984082120146383;0;50;15;30;39;32;47
Maryland;2006;8853070.238095239;13117017.857142858;14595888.095238095;7866636.904761905;12381622.61904762;2155686.904761905;2442133.3333333335;22109033.333333336;42357292.85714286;20248259.523809526;17644560714.285713;30953571428.57143;28980952380.95238;12381622619.047619;1972651190.4761906;5627367;30798661620.298565;24285714285.714287;11963065476.190477;307039752380.9524;1.1253945422009013;1.6674238325659525;1.8554165232162652;1.0680660532369373;350.546035201932;0.10854849136846789;0.2923138327278549;2200.251488670922;0.05746669796813032;0.10081291164593734;0.09438827433978303;0.10030838476604112;0.07909631927914779;36;37;23;9;17;25
Massachusetts;2006;7737482.142857143;13606977.38095238;13743557.142857144;9612988.095238095;48229209.52380952;-13819539.285714285;4255188.095238095;-7915446.428571429;49926751.190476194;57842197.61904762;22224192857.142857;48600980952.38095;46396296428.571434;48229209523.809525;2204684523.809524;6410084;46054309547.67845;11680952380.952381;23980336904.761906;368633498809.5238;0.8048987542895215;1.415478438768977;1.429686275141147;1.0475185455201947;343.9400363255028;-0.1915676658789015;0.9659993565335274;7523.959050116898;0.06028804470812973;0.13184092359846414;0.12586022859670928;0.12493251344874416;0.031687170098960625;46;47;29;26;25;45
Michigan;2006;2211071.4285714286;8253185.714285715;11581352.38095238;5806395.238095238;11059736.904761905;-2044014.2857142857;3198746.4285714286;19997603.57142857;36863735.71428572;16866132.14285714;289322e5;52767380952.38095;53633294047.61905;11059736904.761906;-824025e3;10036081;51965741955.31699;46808409523.809525;9390476190.47619;401891508333.3334;0.3807993320993355;1.4213957844511347;1.994585608807366;0.9838549335703811;-82.10625243060514;0.03132433868902908;0.30001671535627766;1101.9975730329304;0.07199007543101237;0.13129757623197924;0.13345217038807147;0.12930291105383598;0.11647026262865476;45;36;49;33;27;44
Minnesota;2006;7693257.142857143;11334134.523809524;12126769.047619049;5857957.142857143;6033400;771895.2380952381;3970915.476190476;13551620.238095239;25442977.38095238;11891357.142857144;20470133333.333336;32861927380.95238;30156898809.52381;60334e5;2705028571.4285717;5163555;38639831746.8711;784576190.4761904;4924990476.190476;242236633333.33334;1.3133003460494517;1.9348271500466194;2.0701361843190904;1.089698499454934;523.8694216346241;0.1864094222650361;0.23713419658647505;1168.4585522958505;0.08450469712879927;0.13566043636237396;0.1244935515926939;0.1595127508798398;0.0032388833170272917;31;24;12;35;30;33
Mississippi;2006;3740465.476190476;4583802.3809523815;5666665.476190477;2533482.1428571427;4142751.1904761908;439613.09523809527;1448675;12597577.38095238;19273810.714285716;6676233.333333334;6788726190.476191;17407930952.380955;16278317857.142859;4142751190.4761906;1119448809.5238097;2904978;22743375500.844196;0;4151144047.6190476;95834259523.80952;1.4764128046989722;1.8092893979441997;2.236710249632893;1.0693937239186189;385.3553484824359;0.09797170488130297;0.21494198795911132;1426.0869412698446;0.07083819736499938;0.18164621961790234;0.16985906645523352;0.23731988553836245;0;27;31;21;43;41;40
Missouri;2006;4131566.666666667;7115426.19047619;7256704.761904762;2512948.8095238097;4907747.619047619;-1943225;4544151.19047619;33411027.38095238;40831723.80952381;7420696.428571429;12149845238.095238;25559295238.095238;24773103571.428574;4907747619.047619;786191666.6666667;5842704;39105813606.81465;0;3385765476.1904764;237488857142.85715;1.6441109548306225;2.8315046305398184;2.8877248650679315;1.031735695303571;134.55955781204503;0.06369866240791765;0.12019447530409945;839.978821286791;0.05115964337975957;0.10762313459919723;0.10431269858074545;0.16466378287083697;0;15;16;40;10;31;17
Montana;2006;3647653.5714285714;4377195.238095238;4729760.714285715;919553.5714285715;548547.619047619;792525;2943189.285714286;7130251.19047619;8598352.38095238;1468101.1904761905;2248958333.3333335;5295302380.952381;4548894047.619048;548547619.0476191;746408333.3333334;952692;6630612210.808618;0;512296428.5714286;36076826190.47619;3.966765705408292;4.760130757031427;5.1435401495290805;1.164085671268605;783.4728677613892;0.4344686191263664;0.06379682929287671;575.7869479827889;0.06233803166219286;0.1467784985573446;0.12608908620736423;0.18379145038426392;0;3;6;4;29;33;7
Nebraska;2006;3230552.380952381;4323647.619047619;5013784.523809524;1766079.761904762;284173.8095238095;846992.8571428572;2191870.2380952383;11699777.38095238;13750030.952380953;2050253.5714285716;4496377380.952381;8117857142.857143;7458333333.333334;284173809.52380955;676723809.5238096;1772693;5165638180.571918;0;69744047.61904763;74942129761.90477;1.8292222416207002;2.4481610130589204;2.8389343629655945;1.0884277733439744;381.7490166226242;0.22100772760165216;0.02066713962375496;160.30627385780252;0.05999799305460917;0.10832167658762859;0.09952123534557752;0.06892836108319088;0;18;1;17;13;6;2
Nevada;2006;5018357.142857143;7557634.523809524;8945004.761904763;3540509.523809524;4277838.095238095;608296.4285714286;2165730.9523809524;6879328.571428572;14697676.19047619;7818347.619047619;4732120238.095239;8327141666.666667;7392009523.809525;4277838095.2380953;696775e3;2522658;22290889738.14254;0;4222980952.3809524;119917241666.66667;1.4174109994929436;2.134617764190519;2.526473859694663;1.1265058087175213;276.2066835853295;0.18873918196332948;0.29105540493605725;1695.7661701420072;0.03946155008509192;0.06944073721953661;0.061642591349432924;0.18588561101250486;0;23;29;11;1;34;8
New Hampshire;2006;847190.4761904762;1550295.238095238;1635861.9047619049;686214.2857142858;1182063.0952380954;506052.38095238095;758055.9523809524;3296170.2380952383;5164447.619047619;1868277.380952381;2342378571.4285717;6079838095.238095;5855373809.523809;1182063095.2380953;224464285.71428573;1308389;6101564280.025583;3046996428.571429;1190367857.142857;68165814285.71429;1.234585892231359;2.2591998889698486;2.3838936886298185;1.0383347490725858;171.55775974445345;0.2447712565949984;0.2288847099307168;903.4492763529006;0.03436295151717231;0.08919189419134196;0.08589897840846211;0.08951061971402734;0.044699773053396896;25;14;35;2;11;10
New Jersey;2006;12762736.85;20652170.041666668;21141767.77619048;6770614.4202380935;43321040.425000004;-23483115.513095237;8483782.767857142;-7912790.423809525;42178864.421428576;50091654.8452381;31802491594.04762;58774513842.85715;60394961463.09524;43321040425;-846638096.4285715;8661679;99017944463.72957;81944761904.7619;37910978571.42857;498661326190.4762;1.8850190038662975;3.050265272814106;3.1225774300476283;0.9731691588009659;-97.74526352553258;-0.35561253132310094;1.0270793445778772;5001.4599276883855;0.06377573299498238;0.11786459217093315;0.12111418770828414;0.1985675232129535;0.16432949098094093;12;49;50;22;44;34
New Mexico;2006;5087816.666666667;6265803.571428572;8123615.476190477;4520858.333333334;3547897.6190476194;1479020.238095238;10205882.142857144;19625286.904761907;27694042.85714286;8068755.952380952;5606167857.142858;15424853571.428572;15385594047.61905;3547897619.0476193;516788095.2380953;1962137;18704640753.47796;4892430952.380953;3266490476.1904764;70926996428.57143;1.1254094447403977;1.385976535745293;1.7969188320485916;1.0025517067256562;263.3802304518467;0.4219283707051319;0.12811049789115728;1808.1803763180753;0.07904138254026688;0.21747507082105902;0.21692155064134774;0.2637168031260829;0.0689784031290255;39;11;43;49;48;49
New York;2006;23077380.95238095;40511904.76190476;46770238.0952381;27207142.85714286;62184523.80952381;-24166666.666666668;8753571.42857143;58491666.66666667;147883333.33333334;89391666.66666667;64677380952.38096;146595238095.2381;139061904761.90475;62184523809.52381;6307142857.142858;19104631;106386488133.47185;57447619047.61905;56101190476.190475;1010919270238.0952;0.8482103789271025;1.4890172398704822;1.7190426183600245;1.054172516522275;330.1368582906866;-0.10422469449855903;0.42049717441354995;3254.9450345062314;0.06397877937092633;0.14501181490062157;0.1375598515687137;0.10523737282049765;0.05682710849313297;41;45;27;34;20;42
North Carolina;2006;7479448.80952381;13061933.333333334;20105461.904761907;12512515.476190476;8030671.428571429;-1680932.142857143;2591760.7142857146;34338779.76190476;54881966.66666667;20543186.904761907;23437133333.333336;42692053571.42857;39386804761.90476;8030671428.571429;3310813095.2380953;8917270;22370565529.291443;28503114285.714287;7792734523.809525;362125004761.9048;0.5977574072740313;1.0439094647425868;1.6068281348398503;1.0839176680998677;371.28101932969344;0.0165961357937593;0.1463262327559586;900.5751119537066;0.06472111294480513;0.11789313913712854;0.10876576939999318;0.061775810107341164;0.07871070462106015;49;27;18;20;5;27
North Dakota;2006;3789651.5750000007;6486769.277380953;8489746.853571428;1921635.7321428573;2701494.227380953;1618047.2607142858;1991343.8285714288;5507113.197619048;10130243.157142857;4623129.95952381;1651980822.6190476;4662615476.190476;4110455202.3809524;2701494227.3809524;533322959.52380955;649422;2772651219.997388;57857142.85714286;2014905952.3809524;25358861904.761906;1.9720967463349979;3.3756498013010074;4.4179792827355095;1.1343306876303356;821.2271212305858;0.35629856394322823;0.26667614838801995;4159.844026505034;0.0651441231401965;0.18386532856645774;0.1620914699491734;0.10933657947310078;0.0022815354677363656;9;21;5;40;14;19
Ohio;2006;28794948.80952381;36838941.66666667;42467428.571428575;15100019.047619049;35039273.80952381;-5136051.19047619;3430880.9523809524;23175098.80952381;73314391.66666667;50139292.85714286;27879276190.476192;58921584523.809525;56882620238.09524;35039273809.52381;2038964285.7142859;11481213;132659731726.90114;30573809523.809525;13286313095.238096;466737647619.0476;1.906947846801833;2.4396619335705663;2.812408940512216;1.0358451188988786;177.59136475512526;-0.023258328949219333;0.4779317268133982;3051.87908364071;0.05973222072977349;0.12624133670035861;0.12187279198125232;0.2842276220991248;0.06550534262615117;16;41;38;23;49;32
Oklahoma;2006;7526392.857142857;8669525;8734530.952380953;3981489.285714286;2547446.4285714286;3757652.380952381;3511061.904761905;14705342.857142858;21234278.57142857;6528935.714285715;9181923809.52381;17046386904.761906;15351745238.095238;2547446428.571429;1585273809.5238097;3594090;28426337517.74399;0;2677939285.714286;145555965476.1905;1.8903461285574223;2.177457824916556;2.1937848693253392;1.1103875579215206;441.07793892857705;0.3423103950182976;0.11996858852549398;708.7876009146762;0.06308174164820304;0.11711225197122059;0.10546970842364013;0.19529489859619578;0;21;9;10;16;36;18
Oregon;2006;7605296.428571429;9242523.80952381;10661823.80952381;3603575;11741882.142857144;2025286.9047619049;4617384.523809524;17947244.04761905;33292701.19047619;15345457.142857144;9335714285.714287;21717738095.238094;20361590476.190475;11741882142.857143;1362002380.952381;3670883;22493793316.71659;365357142.85714287;10521161904.761906;151735569047.61905;2.1104865109152517;2.5648207154072855;2.958679591662116;1.0666032263360472;371.028545707499;0.1995233547006889;0.35268637638258266;3198.6533329602557;0.06152620868205573;0.143128853910466;0.13419128160912894;0.14824337798909484;0.0024078543030506125;14;35;22;32;23;26
Pennsylvania;2006;16138970.238095239;20646732.14285714;23395013.095238097;11864921.42857143;14043115.476190478;-442963.09523809527;8534313.095238095;30890477.38095238;56798514.28571429;25908036.904761907;32707041666.666668;67692330952.38096;64887105952.38096;14043115476.190477;3029927380.952381;12510809;83106023791.5517;0;9298204761.904762;566860466666.6667;1.3602256310970293;1.7401490829209032;1.9717798584743704;1.0432323950779787;242.184768463205;0.14245707131172444;0.2472444156822345;1122.4786083929885;0.057698575910568;0.11941621427656615;0.11446750967471646;0.14660754926206715;0;33;26;31;17;26;28
Rhode Island;2006;1251813.0952380954;1683863.0952380954;2045888.0952380954;918036.9047619049;2983003.5714285714;-1119246.4285714286;799792.8571428572;1417609.5238095238;5318650;3901040.476190476;3326464285.714286;8634872619.047619;8519885714.285714;2983003571.4285717;114986904.76190476;1063096;13424404356.545921;769673247.6190476;2988810714.2857146;49492584523.809525;1.3635760052181738;1.8341997870715334;2.2285466789253987;1.0134962966192258;108.16229650182558;-0.060062905329091296;0.5608572798414205;2805.958795281491;0.06721136747493991;0.17446800772535165;0.17214469190201678;0.2712407219325515;0.015551284197914112;30;43;45;41;47;50
South Carolina;2006;6556372.619047619;8644115.476190476;11550778.571428573;5651028.571428572;10303904.761904763;1059608.3333333335;5164586.904761905;19729914.285714287;35684847.61904762;15954933.333333334;10146423809.52381;25129633333.333336;23032082142.857143;10303904761.904762;2096909523.8095238;4357847;32702012937.332195;0;9837478571.428572;158629e6;1.160208718851014;1.5296534722713775;2.044013479214909;1.091070845330703;481.1801616278689;0.17442123627768916;0.28874733813925024;2364.448490712217;0.06396323376888091;0.15841764956806972;0.14519465005047716;0.2061540634898549;0;35;34;13;36;38;36
South Dakota;2006;886688.0952380953;1549847.6190476192;2754650;573379.7619047619;617255.9523809524;208986.90476190476;1517440.4761904762;5098280.952380952;6288916.666666667;1190635.7142857143;1271484523.8095238;3511884523.809524;3316476190.4761906;617255952.3809524;195408333.33333334;783033;1008641273.3479512;0;598442857.1428572;3281525e4;1.5464237738223026;2.7030037019427415;4.80423304591198;1.0589204692301066;249.55312653915394;0.27451904238181685;0.09814980625401074;788.288555375;0.03874675718787831;0.10701989239178503;0.10106508987364687;0.030736967518088423;0;10;10;28;5;2;4
Tennessee;2006;5426089.285714286;8792286.904761905;8950959.523809524;2372705.9523809524;1762009.5238095238;2809660.7142857146;2600302.380952381;29462352.38095238;33597067.85714286;4134715.476190476;12598394047.619047;26727576190.476192;24382816666.666668;1762009523.8095238;2345198809.5238094;6088766;13065396379.31949;0;1488265476.1904762;238836327380.9524;2.2868781023073415;3.7055948276856894;3.772468946195147;1.0961644241460833;385.16816207484567;0.1610248584263855;0.052445336340115;289.386966720272;0.05274906956479934;0.11190749951469804;0.10209006700967735;0.0547043932662711;0;8;4;14;11;3;6
Texas;2006;24689383.333333336;35290091.66666667;49699778.571428575;33126594.04761905;30784850;19942376.19047619;58101421.42857143;152263608.33333334;216175052.3809524;63911444.04761905;40468863095.2381;113942279761.90477;99537561904.7619;3078485e4;14512294047.61905;23359580;106440230437.5505;135119047.6190476;27166666666.666668;973544616666.6667;0.7453040085510351;1.0653099928093308;1.5002984762027085;1.1447164023459342;621.2566342211225;0.36102129621097856;0.14240704309278804;1317.8683007143109;0.041568575700002344;0.11703858026767522;0.10224242443614961;0.10933266808252992;1.387908117469579e-4;48;12;6;7;1;9
Utah;2006;4222701.19047619;9179663.095238095;9305051.19047619;1174748.8095238095;4711809.523809524;2082529.761904762;4189238.0952380956;16690600;22577158.333333336;5886558.333333334;6530703571.428572;11737055952.380953;9517422619.047619;4711809523.809524;2219633333.3333335;2525507;11478751871.245031;799007142.8571429;4602380952.380953;93665105952.38095;3.5945566884105924;7.814149732110917;7.920885822602401;1.2332179017553646;878.8862328765407;0.2777926151974185;0.2086980768014955;1865.6885622607754;0.06972397570071356;0.12530873512648386;0.10161118724283777;0.12255099435942336;0.00853046750690012;1;18;3;21;22;5
Vermont;2006;684448.6773809524;1042617.3916666666;1056623.3738095239;475079.83809523814;800224.9880952381;-97225.20119047619;448584.54404761904;1637626.4035714287;2912931.229761905;1275304.8261904763;2774467227.3809524;4836428571.428572;4781967428.571428;800224988.0952381;54360864.28571429;622892;2299282065.176899;0;550017857.1428572;27395025e3;1.4407024304065343;2.194615111108242;2.224096434077055;1.0113888569235638;87.27173295806381;0.12062054169602282;0.27471468599025123;1284.692993480793;0.10127631668089196;0.17654404664454848;0.17455605273480965;0.08393064307029831;0;24;30;47;47;7;37
Virginia;2006;12954909.523809524;16085282.142857144;16422995.238095239;7271446.428571429;8220660.714285715;3442296.4285714286;2831101.1904761908;20164871.42857143;35656978.571428575;15492107.142857144;20270258333.333336;34453148809.52381;31917701190.476192;8220660714.285714;2730942857.142857;7673725;37720986751.761955;2447775e3;8739076190.47619;3896648e5;1.781613830352414;2.212115883801857;2.2585596138843798;1.0794370372702204;355.8822940804964;0.17593744255365493;0.23054843802365274;1071.2738225940745;0.05201973165996347;0.08841740082636104;0.08191066062543034;0.09680368037287934;0.006281745233339013;22;22;19;3;13;11
